horizon,row,Escalation,Quad,Goldstein,CAMEO,Average
1 month,Base specification,-0.003104500754606776,0.0016525005877492394,-9.03298031228017e-4,0.01697511008263597,0.005059953486813651
1 month,Terminal nodes,0.006682334455445971,-0.00624530295261061,-0.006701505803431762,-0.0031632994246223456,-2.3563851532548696e-4
1 month,Sample size,0.002010199303358773,0.0014396265268147301,-0.003563604522245134,-0.0010183987229647196,3.6755709370239753e-4
1 month,Trees per forest,-0.004563112145624326,0.001248196430097992,0.0048137538657453405,-0.004643009920746066,0.0031336585841174047
1 month,Training/test sets 1,-0.0011785094593751433,0.0017178395792485368,7.983307465893041e-4,0.0019162459162128664,4.063341738363979e-4
1 month,Training/test sets 2,0.012106504877491764,-0.0035150207529033306,-0.007069332546247642,0.004162266013284288,-0.0013852203674569186
1 month,Training/test sets 3,0.010261474875748355,-0.01121230640386206,0.0015248812951212942,-0.007816199820835479,-0.007119913474051942
1 month,Coding of DV 1,0.0021809618933982255,0.0037153019674340815,0.008821355657588015,0.002245997955553025,0.002812435461888141
1 month,Coding of DV 2,0.002159685753096441,0.004726804336663615,0.004184357923425086,0.0031921746201970524,0.004446069391260465
6 months,Base specification,0.002658463973437164,-0.0031579835065175255,-0.0011147099940517213,0.011410547455618092,-0.0013362560971696968
6 months,Terminal nodes,-0.005004203967347909,-3.8426052687423606e-4,-0.00422134672565555,0.006522421868442985,-0.009348903142628928
6 months,Sample size,-0.003526692016970423,-0.002832976681851007,0.003072181702202359,-0.0027373102249456105,-0.0022370517503027543
6 months,Trees per forest,0.004364246417401629,-0.005293339401187147,0.0018797816489622976,3.0740310697319195e-4,0.001012858781058279
6 months,Training/test sets 1,0.006993088628866051,0.001760618899713462,-4.7377528108061284e-4,-0.004794849101010468,0.002589250335065185
6 months,Training/test sets 2,-0.006356272561232057,0.008245300259705601,0.005328408167373011,0.0017090720634490575,9.035097891026966e-4
6 months,Training/test sets 3,-3.604879152024898e-4,-0.0043320878917046945,0.001833643931563489,8.459288156476008e-4,0.0027682481100707035
6 months,Coding of DV 1,5.896544099224243e-4,-0.014632226778294233,5.219911146925327e-5,0.005537267256687128,0.0010220146824180265
6 months,Coding of DV 2,-0.0023700166289762903,0.0010702243169744552,-0.004748396902341523,0.002670931469268112,0.002443695501755272
